"Record ID","Record","Users","Deals","Company","Plan","Seats"
"443758a9-7608-5107-9fe6-b79943215ddb","Riot Tech","emma.kim@riot.com,raj.chen@riot.com,maya.brown@riot.com",,"Riot Comedy Club","Free",
"48ae4bb2-3f7e-5c25-b066-2722336db5b3","Helix","michael.lee@helix.com",,"Helix","Free",
"4a27a4b6-17dc-5048-a8c0-c9fe9573efda","Helix Works","lisa.chen@helix.com,anna.zhang@helix.com",,"Helix","Pro",
"4a949fbd-0f5e-52c9-8eef-c0ae876239ee","Sage Data","james.shah@sage.com,sofia.patel@sage.com",,"7Sage","Pro",
"4e711a52-bdc3-5336-a1d1-5ad6cf7ab4d1","Nova Data",,,"Fashion Nova","Free",
"5574b4cd-810e-5873-bb26-0e12e395d68b","Cosmic",,,"Grupo Cosmic","Free",
"5ba3d6a6-6986-5d7a-8df0-3b50ce8b6cb3","Orbit","maya.johnson@orbit.com",,"Orbit","Pro",
"68171a02-5b32-5498-8924-abb5f22bcbff","Bolt Data","michael.zhang@bolt.com,david.johnson@bolt.com,anna.li@bolt.com",,"Bolt","Free",
"6a7677f8-54f2-54d4-8db8-28840f95d0dc","Terra","lisa.davis@terra.com,james.patel@terra.com,anna.wang@terra.com",,"Terra","Free",
"6c75c8e4-ccac-59ec-b3be-a29e5bbdf2d2","Iris Software","michael.shah@iris.com",,"Iris","Pro",
"72ccdec7-0e81-5630-af43-a057b762943b","Yield Tech","john.lee@yield.com",,"Yield Communications","Free",
"73818292-5c38-57cc-beba-1eba47b13471","Cosmic Systems","ava.zhang@cosmic.com",,"Grupo Cosmic","Pro",
"765c9e97-8454-5691-8b3b-4ac30eb9063f","Iris Solutions","nina.johnson@iris.com",,"Iris","Pro",
"77293799-5575-5e45-b1e5-dc3d9a6e6984","Unity","anna.johnson@unity.com",,,"Free",
"773de56b-02bd-5f53-bb4e-60cf675e496f","Zoom","raj.shah@zoom.com",,"ZOOM.COM.NG","Free",
"77a80bcf-0af4-5d40-8e0e-337f44da2095","Drift","michael.rodriguez@drift.com",,"Salesloft","Free",
"7ae21013-2eee-59ac-8a49-522230063caf","Lunar Data",,,"LUNAR","Free",
"81eff7cc-ea84-5464-8f20-024e8bb8b4f1","Xenon Labs",,,"Sanan Media","Free",
"86c14c5d-6833-5b7f-b8a8-b2552869abcb","Xenon","sam.davis@xenon.com",,"Sanan Media","Enterprise",
"8b8e6a97-2b14-5bbd-ad24-a9f2375d2943","Glow Solutions","lisa.li@glow.com,anna.martinez@glow.com",,"Glow Communications","Free",
"8e7a8dd5-4bb2-55c0-b0f3-2981d10324e8","Keen Works","david.rodriguez@keen.com",,"Keen.com","Pro",
"8f16f212-7232-5f8e-a796-57e7089f546c","Accel Studio",,,"Accel","Enterprise",
"91fa131d-11d4-50aa-aa4f-3ec882c7fc9d","Mist Studio","maria.chen@mist.com,raj.garcia@mist.com,raj.wang@mist.com",,"Mist","Free",
"92bd24ba-0c54-50a4-91f4-a310d5f75916","Jolt Systems","emma.patel@jolt.com,nina.johnson@jolt.com,ava.davis@jolt.com",,"Jolt Software","Free",
"93fdffdb-b379-5e59-9636-33f6da0f22ee","Bolt AI","dan.wang@bolt.com",,"Bolt","Free",
"984bee63-3732-50a3-8203-eb1046a5e53e","Drift Software","anna.garcia@drift.com,alex.rodriguez@drift.com",,"Salesloft","Pro",
"9f00919e-7d14-5088-bee8-1089b3f7734c","Helix Labs","alex.martinez@helix.com,dan.lee@helix.com",,"Helix","Free",
"9f66519b-97d7-5010-a6e4-b6b43797c095","Flux Tech",,,"9flux","Free",
"a04c89df-806f-57d3-a355-4fc77b936c3b","Riot","sam.davis@riot.com,dan.brown@riot.com",,"Riot Comedy Club","Free",
"a281e8de-4f4c-5a43-bbed-da521d792ba2","Drift Systems","james.kumar@drift.com,raj.rodriguez@drift.com",,"Salesloft","Enterprise",
"a652e27a-da80-564d-a34f-de44e7ad50a5","Terra Works","sarah.garcia@terra.com,maria.smith@terra.com",,"Terra","Free",
"a86e1e63-e5e7-51ee-ae41-25001db3da42","Yield","james.li@yield.com",,"Yield Communications","Free",
"b0b077ba-6c07-548e-980d-aa9ba49c2116","Orbit Labs",,,"Orbit","Free",
"b24efc18-aa85-58b1-8045-6c391dbc6149","Wave Software","anna.kumar@wave.com,dan.rodriguez@wave.com",,"WAVE","Enterprise",
"b48cd767-bf28-5935-ac9e-745a4c7b673f","Glow",,,"Glow Communications","Free",
"b734ffbf-89fa-570d-8dec-fae04aa1d9c4","Echo AI","chris.martinez@echo.com",,"Echo Global Logistics","Free",
"b7de195e-a27f-5501-9016-52e926ec33c2","Iris Tech","zoe.johnson@iris.com",,"Iris","Pro",
"be62af87-47a2-5d2b-8db0-62c0da318073","Mist Systems","nina.singh@mist.com,maya.singh@mist.com",,"Mist","Pro",
"c1e47b3c-4896-5898-bf65-10917470086a","Nova AI","michael.williams@nova.com",,"Nova - Community Association Management","Pro",
"c4bd82bc-f2e1-5c1a-b31e-18c373699bfd","Nova Works","raj.brown@nova.com",,"Nova - Community Association Management","Free",
"d724da99-c99a-5877-9f93-b20990d7db31","Echo Works","emma.zhang@echo.com",,"Echo Global Logistics","Free",
"da86837c-e379-53eb-a372-9d27101418f8","Orbit Works","ava.martinez@orbit.com,emma.patel@orbit.com",,"Orbit","Pro",
"e0ba032d-04ae-5069-a015-18d98cc3677c","Flux","nina.kumar@flux.com,ava.chen@flux.com",,"9flux","Pro",
"e62ddea2-21dc-5e48-9e9c-9966b8b1cbe0","Jolt",,,"Jolt Software","Pro",
"e8ac6db2-ccca-5862-afa5-2c38c8a4dc5a","Lunar Tech",,,"Lullwater & Co","Pro",
"ecd9dcee-0005-512e-8854-68c2a17354c6","Orbit Software","anna.martinez@orbit.com,maya.martinez@orbit.com",,"Orbit","Free",
"ecee8846-7fb0-5321-b680-8a3d94166460","Unity Systems",,,"Unity Communications","Pro",
"eeb3ac76-2122-5a70-b03f-c90277fd6711","Wave","tom.lee@wave.com",,"WAVE","Free",
"f16342bf-f8ac-5bd7-a152-5574b942df19","Pulse","emma.lee@pulse.com",,"Pulse","Free",
"f26bca5e-ab04-5085-850a-dea8d30a0015","Pulse Labs","ava.williams@pulse.com,maria.kim@pulse.com,emma.singh@pulse.com",,"Pulse","Free",
"f656633c-dbdf-580b-8916-4586d6263cdc","Echo",,,"Echo Global Logistics","Free",
"f76535d8-1c48-5891-b6d8-239bad268f97","Wave AI","lisa.singh@wave.com",,"Wave Mobile Money","Free",
"f8b4365b-b1d5-5a27-ad9d-2034f79ddbb1","Yield Design","sam.williams@yield.com",,"AdMedia","Pro",
"fa41d4f1-038a-5ecb-8d6d-5fc3e0d16960","Lunar",,,"LUNAR","Enterprise",
"fd5ed5a5-1b40-5d77-b01c-ef826a97f591","Unity Labs","anna.jones@unity.com",,"Unity","Free",
