user_id,workspace_id,name,email,signup_date,last_login_date
usr_f1ah5msn1,ws_2y37gs11s,"James Miller",james.miller@wave.com,2025-01-26,2025-01-27
usr_gjhef08nm,ws_2y37gs11s,"Chris Jones",chris.jones@wave.com,2024-11-29,2025-01-29
usr_84q3af25z,ws_2y37gs11s,"James Rodriguez",james.rodriguez@wave.com,2024-11-15,2024-11-22
usr_tgppa3rj5,ws_2y37gs11s,"Lisa Johnson",lisa.johnson@wave.com,2024-10-31,2025-01-29
usr_b46znb5v2,ws_e7u5hlmti,"John Miller",john.miller@helix.com,2024-11-09,2024-11-28
usr_az0mm6wpe,ws_e7u5hlmti,"Ava Chen",ava.chen@helix.com,2024-12-08,2024-12-16
usr_5d2txp6tf,ws_e7u5hlmti,"Maria Zhang",maria.zhang@helix.com,2025-01-08,2025-01-08
usr_hyp1q2i89,ws_e7u5hlmti,"Chris Li",chris.li@helix.com,2025-01-20,2025-02-02
usr_ka0beiwit,ws_e7u5hlmti,"Chris Martinez",chris.martinez@helix.com,2024-11-22,2024-11-25
usr_8c9lkz694,ws_e7u5hlmti,"Sarah Davis",sarah.davis@helix.com,2024-11-11,2024-12-04
usr_9zo4r4p47,ws_e7u5hlmti,"Maya Li",maya.li@helix.com,2024-11-11,2024-12-22
usr_igskrv4l4,ws_frd4y7nmh,"Anna Johnson",anna.johnson@glow.com,2025-01-06,2025-01-08
usr_n1sebillz,ws_frd4y7nmh,"Alex Rodriguez",alex.rodriguez@glow.com,2024-11-25,2024-11-28
usr_cipwkihlt,ws_frd4y7nmh,"Michael Li",michael.li@glow.com,2025-01-18,2025-01-21
usr_mpsr3fekd,ws_l3zzyo2i6,"Tom Jones",tom.jones@echo.com,2025-01-18,2025-01-19
usr_dopl7v0h7,ws_l3zzyo2i6,"Alex Smith",alex.smith@echo.com,2024-10-26,2024-12-08
usr_yjiqt6sdx,ws_l3zzyo2i6,"Maya Johnson",maya.johnson@echo.com,2024-10-29,2024-11-07
usr_nhe57lwa0,ws_w5fd4ycv3,"Tom Rodriguez",tom.rodriguez@riot.com,2025-02-10,2025-02-10
usr_re8nfbu8n,ws_lj5htaxch,"Maya Brown",maya.brown@drift.com,2024-11-26,2025-01-15
usr_c7ltyzdrt,ws_lj5htaxch,"Michael Patel",michael.patel@drift.com,2025-01-12,2025-01-27
usr_uodryzk7b,ws_lj5htaxch,"Alex Li",alex.li@drift.com,2024-12-18,2024-12-24
usr_mp78obcx6,ws_lj5htaxch,"Michael Kim",michael.kim@drift.com,2024-11-26,2024-12-31
usr_c1bgpg5fi,ws_9ytduc1nq,"Nina Martinez",nina.martinez@nova.com,2024-10-06,2025-01-22
usr_5sn689fd6,ws_9ytduc1nq,"Ava Williams",ava.williams@nova.com,2025-02-01,2025-02-11
usr_5oeobjmdt,ws_9ytduc1nq,"Nina Jones",nina.jones@nova.com,2025-02-08,2025-02-09
usr_y5zjddvx5,ws_47ak6fxh3,"John Kumar",john.kumar@accel.com,2024-12-17,2024-12-31
usr_i1zj1tmxk,ws_47ak6fxh3,"Emma Rodriguez",emma.rodriguez@accel.com,2024-09-30,2024-10-18
usr_xghbllvqr,ws_47ak6fxh3,"Chris Chen",chris.chen@accel.com,2024-10-27,2024-11-25
usr_4zqw3z068,ws_47ak6fxh3,"Dan Williams",dan.williams@accel.com,2024-11-26,2025-02-04
usr_2r1dfi7rw,ws_47ak6fxh3,"Emma Lee",emma.lee@accel.com,2024-09-19,2024-10-27
usr_7i0whg1g4,ws_47ak6fxh3,"Anna Garcia",anna.garcia@accel.com,2024-11-04,2024-12-27
usr_0lu2frgsi,ws_46sk9hy4h,"Lisa Smith",lisa.smith@drift.com,2024-12-24,2025-01-02
usr_keb3mmt9g,ws_46sk9hy4h,"Ava Wang",ava.wang@drift.com,2024-11-11,2025-01-12
usr_eyhslote4,ws_46sk9hy4h,"David Shah",david.shah@drift.com,2025-01-23,2025-02-08
usr_xuvhkx244,ws_46sk9hy4h,"Raj Jones",raj.jones@drift.com,2024-09-12,2024-11-12
usr_5u5ia89wx,ws_46sk9hy4h,"Michael Zhang",michael.zhang@drift.com,2024-12-26,2025-02-10
usr_yjj1vam16,ws_46sk9hy4h,"Lisa Lee",lisa.lee@drift.com,2025-02-01,2025-02-09
usr_80spg1j3f,ws_46sk9hy4h,"Emma Johnson",emma.johnson@drift.com,2025-01-23,2025-01-30
usr_p04oinmqy,ws_46sk9hy4h,"Sofia Shah",sofia.shah@drift.com,2024-10-02,2024-11-11
usr_o1hiq2p9x,ws_46sk9hy4h,"Tom Smith",tom.smith@drift.com,2024-12-18,2024-12-24
usr_rfr8opsad,ws_46sk9hy4h,"Alex Lee",alex.lee@drift.com,2025-01-29,2025-02-04
usr_81e48rxqi,ws_1iwhdtp54,"Lisa Jones",lisa.jones@lunar.com,2024-12-21,2025-01-26
usr_703ootsv8,ws_1iwhdtp54,"Nina Wang",nina.wang@lunar.com,2024-12-07,2024-12-24
usr_68rp2ws6b,ws_1iwhdtp54,"Tom Patel",tom.patel@lunar.com,2025-01-06,2025-01-17
usr_ug16wbqc6,ws_1iwhdtp54,"David Zhang",david.zhang@lunar.com,2024-11-16,2024-12-16
usr_iexart7lk,ws_1iwhdtp54,"Maya Lee",maya.lee@lunar.com,2024-12-02,2025-01-31
